voter,label,is_compensation_recipient,final_vote,height,tx_hash
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,http://54.38.118.143:8000,true,yes:1.000000000000000000,4401130,BC1D95F0A2C95BC02C56AFE4A1F169B778B1A01E6710215097BA27CE8E2155D8
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,http://57.131.17.61:8000,true,yes:1.000000000000000000,4401160,3597BA393E8D1B7672FB7E852751080FBD78EAD06454D8EE45DD7E396E07C6DB
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,http://69.48.159.137:8000/,true,no_with_veto:1.000000000000000000,4401505,621C8D555F348D0ACD42A953E6BF1855B4CC2A391D388BA13B4454D80A4A5E78
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,Hyperfusion,false,no_with_veto:1.000000000000000000,4404760,D6B76E32E90DBD496D487B65F4352BEF0FE12986AD91EAAE2730F637000F7A13
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,http://148.113.47.235:8000,true,yes:1.000000000000000000,4406961,F149F6128C4D51CE95E34FD7DAD6C571A3EC0436C1027758828AFD26677D927A
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,http://148.113.47.71:8000,true,yes:1.000000000000000000,4406963,C92DB5B3B97546534A58946BB9B0925EE0344D1BED27852B011809BDB6AC3065
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,http://89.169.97.113:8000,true,yes:1.000000000000000000,4406965,68AAF23B69D68A7265D3F7CBBBC5F1F8AAF1148AC68F310C5DF991588C3E3E03
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,http://network000.kaitaku.ai:8000,true,no_with_veto:1.000000000000000000,4412026,EB3997DE70CD373007828A268A2946749A449E0F5880773145E544A678E95836
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,http://network002.kaitaku.ai:8000,false,no_with_veto:1.000000000000000000,4412030,879FDD98A0A26913154EBA8E9DB863CA8284C8F5DECC6CDDD8AB25DFD27B2B74
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,http://65.108.198.21:8000,true,no_with_veto:1.000000000000000000,4413730,65A60D30FF820270AD45CA9BD306884F76EF83D61A7EF48950075106AAFA14DA
gonka16r08lhm50zwjddmslfw2344z67r70vqul0dus6,https:/gonka.top,false,no_with_veto:1.000000000000000000,4413853,2FC9CFFE8DE420F99E70663B071101BE89CD9DF7B9590CFF07F591582D5CCFCB
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,http://88.99.213.222:8000,true,no_with_veto:1.000000000000000000,4413855,0620A2F8A4CC3EBA0EE85C32FC8035CEBC318378C7387618C06408E5B4A52B13
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,http://178.105.174.27:8000,true,yes:1.000000000000000000,4414864,2163756502FF44AF25F1F41C5E1791ACC4236C8DC1ECBB0A825FDC4228BBBBBC
gonka1mgdgcll2f4m0cjekqyueheeu7y8adz0hddfnh2,,false,yes:1.000000000000000000,4416171,46897B04D828FE49C88744CD65F0DAA3E6EC36FC84F5568EF918C44AC85C4089
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,http://84.32.59.212:8000,false,no_with_veto:1.000000000000000000,4422937,16500E199A71C7BCDECC96C3E2306CA5B7BA9C124EC78D38DF4D4A14D73718A9
gonka1m58jds005cttwq2vt0p7yk6vy2aqg254cqqppf,http://84.32.185.226:8000,false,no_with_veto:1.000000000000000000,4422941,5D32B3CA64BC7B6A45EC13736561EBDD448DBAA776E3DBE539FDFAA7D0B1812A
gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,,false,no_with_veto:1.000000000000000000,4426014,1E4919B2144F9A2065EBF76A8E22612659F503545A6E169FE954BFA4427F61D3
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,http://95.216.112.248:8000,false,no_with_veto:1.000000000000000000,4426629,F34CD778155896EF96D5374FA5BCBE0AC5A83354B578A7B5774807E10763E25D
gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,http://78.46.89.87:8000,false,no_with_veto:1.000000000000000000,4429647,DD94D2782864280DB6CA45617CD9CAF9BD0EA2C8A6E85C60E650599D42DFDC59
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,"ancapex | Mine from $1, no losses from node failures",true,yes:0.380100000000000000;no:0.005200000000000000;abstain:0.025800000000000000;no_with_veto:0.588900000000000000,4430015,84D0A3CCE584407EEED45D96F30E944F8F6AB32ECFF933278770D6011E6E3E0E
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,http://20.163.111.183:8000,true,no_with_veto:1.000000000000000000,4430200,4E3CCBD1843951453C4597537BF45E9C7BECA6DE509BC305F4150C862EC1BB8F
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,http://20.171.77.105:8000,true,no_with_veto:1.000000000000000000,4430201,968C6B605887FFEFA4014384FCBAEFA6E84C2DA6CE9527C5598CDDFE576A8ABD
gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,http://20.88.58.210:8000,false,no_with_veto:1.000000000000000000,4430202,ECF9274238EA5B9D3675955AA4A247D57FAFD338F9E37E4C39BC902CF32E54C7
gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,http://94.237.52.191:8000,false,yes:1.000000000000000000,4430417,DAE6F185AA5013735B505B44C59F295D0994B7D818E2B724ADE2DC95D16674FB
